"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1600000US0651622","Norris Canyon CDP, California","846","343","797","345","79","85","0","14","0","14","718","339","0","14","0","14","0","14","0","14","0","14","49","70","49","70","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0651637","North Auburn CDP, California","13833","1076","10162","951","8517","756","113","110","86","69","427","271","40","56","140","152","839","404","303","266","536","294","3671","838","1708","774","0","21","66","75","0","21","0","21","1315","425","582","271","519","259","63","66",
"1600000US0651812","North Edwards CDP, California","1015","315","905","297","423","156","74","112","0","14","33","40","0","14","0","14","375","246","106","155","269","184","110","94","48","61","0","14","0","14","0","14","0","14","24","30","38","71","38","71","0","14",
"1600000US0651820","North El Monte CDP, California","4115","586","2845","490","771","204","73","61","0","14","1881","514","0","14","9","14","111","67","13","21","98","64","1270","451","284","167","0","14","11","25","29","49","0","14","269","157","677","410","644","406","33","46",
"1600000US0651840","North Fair Oaks CDP, California","13327","1450","3599","402","2382","341","106","83","0","21","842","265","0","21","8","14","261","154","108","115","153","92","9728","1510","1727","534","36","41","357","374","10","16","14","24","4614","947","2970","1601","2799","1606","171","195",
"1600000US0651868","North Fork CDP, California","2914","507","2659","510","2161","458","3","2","228","123","6","10","14","22","0","14","247","135","35","38","212","133","255","114","55","61","0","14","14","15","0","14","0","14","22","33","164","102","127","84","37","40",
"1600000US0651890","North Gate CDP, California","719","398","719","398","616","351","0","14","0","14","45","54","0","14","0","14","58","63","0","14","58","63","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0651924","North Highlands CDP, California","47900","2659","32265","1983","21379","2068","4022","892","266","199","3318","876","113","92","118","94","3049","657","593","309","2456","547","15635","2082","4387","1287","260","239","169","92","24","33","0","29","5993","1281","4802","1524","4059","1508","743","334",
"1600000US0651990","North Lakeport CDP, California","3221","493","2837","502","2397","513","33","69","16","16","45","44","0","14","0","14","346","214","0","14","346","214","384","181","88","87","17","26","0","14","0","14","0","14","112","120","167","160","167","160","0","14",
"1600000US0652162","North Richmond CDP, California","3935","773","1393","446","128","111","550","245","0","14","469","298","149","183","0","14","97","108","0","14","97","108","2542","691","251","219","0","14","65","56","20","34","0","14","1468","503","738","541","673","518","65","81",
"1600000US0652246","North San Juan CDP, California","111","90","111","90","111","90","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0652302","North Shore CDP, California","3373","857","56","125","0","14","0","14","0","14","0","14","0","14","56","125","0","14","0","14","0","14","3317","863","239","305","0","14","273","347","0","14","0","14","1055","585","1750","837","1677","810","73","148",
"1600000US0652379","North Tustin CDP, California","26038","1581","19954","1350","14267","1183","185","118","30","29","3883","669","0","25","74","64","1515","475","238","153","1277","473","6084","1032","2215","601","11","18","11","18","0","25","0","25","1993","840","1854","534","1576","515","278","151",
"1600000US0652526","Norwalk city, California","100713","59","30737","2017","11136","1508","3971","773","122","75","13343","1271","268","174","592","286","1305","354","81","51","1224","356","69976","2022","13051","1625","222","150","1996","645","536","367","64","84","38423","2530","15684","2212","14049","2178","1635","439",
"1600000US0652582","Novato city, California","52689","75","38437","1339","29715","1296","1593","503","31","27","3447","525","10","25","453","250","3188","543","512","245","2676","494","14252","1340","3199","749","363","300","393","417","30","41","0","32","5689","1324","4578","1073","3530","998","1048","553",
